Tittle,Year Release,MPAA Rating,Duration(minutes),IMDB Score,Metascore,Genre 1,Genre 2,Genre 3,Gross($M)

Vizontele,2001,NA,110,8.0,NA,Comedy,Drama,NA,NA

The Killer Inside Me,2010,R,109,6.1,53,Crime,Drama,Thriller,0.21

Astro Boy,2009,PG,94,6.3,53,Animation,Action,Comedy,19.55

Looney Tunes: Back in Action,2003,PG,93,5.7,64,Animation,Adventure,Comedy,20.99

Paan Singh Tomar,2012,NA,135,8.2,NA,Action,Biography,Crime,0.04

Summer of 84,2018,NA,105,6.7,57,Drama,Horror,Mystery,0.09

Smoke,1995,R,112,7.4,70,Comedy,Drama,NA,8.35

Keeping Mum,2005,R,99,6.8,53,Comedy,Crime,NA,1.62

Arthur et les Minimoys,2006,PG,94,6.0,39,Animation,Adventure,Comedy,15.13

Doc Hollywood,1991,NA,104,6.2,56,Comedy,Drama,Romance,54.83

Bug,2006,R,102,6.1,62,Drama,Horror,Thriller,7.01

Spies in Disguise,2019,PG,102,6.8,54,Animation,Action,Adventure,NA

Twilight Zone: The Movie,1983,NA,101,6.5,44,Horror,Sci-Fi,NA,29.50

Hold the Dark,2018,NA,125,5.6,63,Action,Drama,Thriller,NA

Snatched,2017,R,90,4.5,45,Action,Adventure,Comedy,45.83

The Innkeepers,2011,R,101,5.5,64,Drama,Horror,Mystery,0.08

Nurse Betty,2000,R,110,6.1,69,Comedy,Crime,Drama,25.17

Drumline,2002,PG-13,118,5.9,63,Comedy,Drama,Romance,56.40

Agent Cody Banks,2003,PG,102,5.1,41,Action,Adventure,Comedy,47.81

Black Christmas,1974,NA,98,7.2,65,Horror,Mystery,Thriller,4.05

Find Me Guilty,2006,R,125,7.0,65,Biography,Comedy,Crime,1.17

Captain Corelli's Mandolin,2001,R,131,5.9,36,Drama,Music,Romance,25.54

Jersey Boys,2014,R,134,6.8,54,Biography,Drama,Music,47.03

Code 8,2019,NA,98,6.1,48,Action,Crime,Drama,NA

Antwone Fisher,2002,PG-13,120,7.3,62,Biography,Drama,NA,21.08

Hollywoodland,2006,R,126,6.5,62,Biography,Crime,Drama,14.42

Lionheart,1990,R,108,6.2,41,Action,Crime,Drama,24.08

The Endless,I 2017,NA,111,6.5,80,Drama,Fantasy,Horror,0.27

The Big Chill,1983,NA,105,7.2,61,Comedy,Drama,NA,56.20

The Nines,2007,R,100,6.3,52,Drama,Fantasy,Mystery,0.06

Little Big Man,1970,PG-13,139,7.6,63,Adventure,Comedy,Drama,31.56

The Last House on the Left,1972,21+,84,6.0,68,Crime,Horror,Thriller,3.10

Grease 2,1982,NA,115,4.4,52,Comedy,Drama,Musical,15.17

Peggy Sue Got Married,1986,NA,103,6.3,74,Comedy,Drama,Fantasy,41.38

Jack Frost,1998,PG,101,5.4,40,Comedy,Drama,Family,34.55

The New Mutants,2020,PG-13,94,5.3,43,Action,Horror,Sci-Fi,NA

Straw Dogs,2011,R,110,5.8,45,Action,Drama,Thriller,10.32

Can't Buy Me Love,1987,NA,94,6.8,36,Comedy,Drama,Romance,31.62

Mother's Day,I 2016,PG-13,118,5.7,18,Comedy,Drama,Romance,32.46

L'immortel,2010,NA,117,6.7,NA,Action,Crime,Drama,NA

"Roman J. Israel, Esq.",2017,13+,122,6.5,58,Crime,Drama,Thriller,11.96

Friday the 13th Part VII: The New Blood,1988,NA,88,5.3,13,Horror,Thriller,NA,19.17

Get Carter,2000,R,102,5.2,24,Action,Crime,Drama,14.97

The War of the Worlds,1953,NA,85,7.1,78,Action,Sci-Fi,Thriller,4.36

"Everything, Everything",2017,PG-13,96,6.4,52,Drama,Romance,NA,34.00

Los ojos de Julia,2010,NA,118,6.7,NA,Horror,Mystery,Thriller,NA

Sanjuro,1962,NA,96,8.1,NA,Action,Comedy,Crime,NA

The Four Feathers,2002,PG-13,132,6.5,49,Action,Adventure,Drama,18.31

The Muppet Movie,1979,NA,95,7.6,74,Adventure,Comedy,Family,76.66

Out of the Past,1947,NA,97,8.0,NA,Crime,Drama,Film-Noir,NA

The Arrival,1996,PG-13,115,6.2,56,Sci-Fi,Thriller,NA,14.05

This Must Be the Place,2011,R,118,6.7,61,Comedy,Drama,NA,0.14

Police Academy 5: Assignment: Miami Beach,1988,NA,90,4.7,18,Comedy,Crime,NA,4.24

Suspicion,1941,NA,99,7.4,83,Film-Noir,Mystery,Thriller,4.50

The Santa Clause 3: The Escape Clause,2006,G,97,4.8,32,Adventure,Comedy,Family,84.50

Drop Dead Gorgeous,1999,PG-13,97,6.6,28,Comedy,Romance,Thriller,10.56

Fools Rush In,1997,PG-13,109,6.1,37,Comedy,Drama,Romance,29.29

The Cooler,2003,R,101,6.9,69,Drama,Romance,NA,8.24

Drugstore Cowboy,1989,NA,101,7.3,82,Crime,Drama,NA,4.73

The Many Adventures of Winnie the Pooh,1977,NA,74,7.6,NA,Animation,Adventure,Comedy,NA

Step Up All In,2014,PG-13,112,6.0,45,Drama,Music,Romance,14.90

Alex Cross,2012,PG-13,101,5.2,30,Action,Crime,Mystery,25.89

Shutter,I 2008,PG-13,85,5.3,37,Horror,Mystery,Thriller,25.93

Nosferatu: Phantom der Nacht,1979,NA,107,7.5,79,Drama,Horror,NA,NA

6 Souls,2010,R,112,6.1,28,Horror,Mystery,Thriller,NA

The Commitments,1991,R,118,7.6,73,Comedy,Drama,Music,14.92

The Marine,2006,PG-13,92,4.7,45,Action,Comedy,Drama,18.84

Arif V 216,2018,NA,125,7.1,NA,Comedy,Music,Sci-Fi,NA

Phantasm,1979,R,89,6.7,72,Horror,Sci-Fi,NA,11.99

Osmosis Jones,2001,PG,95,6.3,57,Animation,Action,Adventure,13.60

The Phantom,1996,PG,100,4.9,NA,Action,Adventure,Comedy,17.30

Frequently Asked Questions About Time Travel,2009,NA,83,7.1,NA,Comedy,Sci-Fi,NA,NA

An American Crime,2007,R,98,7.3,NA,Biography,Crime,Drama,NA

The Adventures of Sharkboy and Lavagirl 3-D,2005,SU,93,3.6,38,Action,Adventure,Comedy,39.18

Forces of Nature,1999,PG-13,105,5.4,46,Comedy,Romance,NA,52.89

Jeune et jolie,2013,NA,95,6.7,63,Drama,Romance,NA,0.05

Under the Silver Lake,2018,R,139,6.5,60,Crime,Drama,Mystery,0.05

Barbarella,1968,NA,98,5.9,51,Adventure,Comedy,Fantasy,NA

Che: Part Two,2008,NA,135,6.9,64,Biography,Drama,History,NA

Chhichhore,2019,13+,143,8.2,NA,Comedy,Drama,NA,0.90

The Rookie,2002,NA,127,6.9,72,Drama,Family,Sport,75.60

Single White Female,1992,R,107,6.4,63,Drama,Thriller,NA,47.92

Adoration,2013,R,112,6.2,37,Drama,Romance,NA,0.32

The Woodsman,2004,R,87,7.2,72,Drama,NA,NA,0.04

Sudden Death,1995,R,111,5.8,NA,Action,Crime,Thriller,20.35

Sweet and Lowdown,1999,PG-13,95,7.2,70,Comedy,Drama,Music,4.20

White Christmas,1954,NA,120,7.6,56,Comedy,Musical,Romance,30.00

Main Hoon Na,2004,NA,182,7.0,NA,Action,Comedy,Drama,1.72

Man of the Year,2006,PG-13,115,6.2,39,Comedy,Drama,Romance,37.44

A Little Princess,1995,SU,97,7.7,83,Drama,Family,Fantasy,10.02

Les visiteurs,1993,R,107,7.1,NA,Comedy,Fantasy,NA,0.70

The Report,I 2019,R,119,7.2,66,Biography,Crime,Drama,NA

Welcome to the Punch,2013,R,99,6.1,49,Action,Crime,Thriller,0.01

L'instinct de mort,2008,R,113,7.5,71,Action,Biography,Crime,0.55

Dracula 2000,2000,NA,99,4.9,26,Action,Fantasy,Horror,33.02

Shortbus,2006,NA,101,6.4,64,Comedy,Drama,NA,1.99

Hard Rain,1998,R,97,5.9,36,Action,Crime,Drama,19.82

Altered States,1980,NA,102,6.9,58,Horror,Sci-Fi,Thriller,19.85

Omoide no M�n�,2014,PG,103,7.7,72,Animation,Drama,Family,0.77

Fighting,2009,PG-13,105,5.6,61,Action,Crime,Drama,23.04

Meng long guo jiang,1972,NA,99,7.3,58,Action,Adventure,Comedy,NA

Igby Goes Down,2002,R,98,6.9,72,Comedy,Drama,NA,4.68

The Sweet Hereafter,1997,R,112,7.5,91,Drama,NA,NA,3.25

Exit Wounds,2001,R,101,5.6,39,Action,Crime,Thriller,51.76

Dungeons & Dragons,2000,PG-13,107,3.6,14,Action,Adventure,Fantasy,15.22

Kagemusha,1980,NA,180,8.0,84,Drama,History,War,NA

Unfinished Business,I 2015,R,91,5.4,32,Comedy,Drama,NA,10.21

Angel-A,2005,R,91,7.1,48,Comedy,Drama,Fantasy,0.20

King of New York,1990,NA,103,7.0,66,Crime,Thriller,NA,2.55

Profondo rosso,1975,NA,127,7.6,89,Horror,Mystery,Thriller,NA

True Crime,1999,R,127,6.6,65,Crime,Drama,Mystery,16.64

Escape from the Planet of the Apes,1971,NA,98,6.3,69,Action,Sci-Fi,NA,12.30

Housebound,2014,NA,107,6.8,76,Comedy,Horror,Mystery,NA

The Perfect Date,I 2019,NA,89,5.8,NA,Comedy,Romance,NA,NA

Henry: Portrait of a Serial Killer,1986,NA,83,7.0,80,Biography,Crime,Drama,0.61

Gummo,1997,R,89,6.7,19,Comedy,Drama,NA,0.02

Hedwig and the Angry Inch,2001,R,95,7.7,85,Comedy,Drama,Music,3.03

Tolkien,2019,PG-13,112,6.8,48,Biography,Drama,Romance,4.54

The Shipping News,2001,R,111,6.7,47,Drama,NA,NA,11.43

The Professor and the Madman,2019,NA,124,7.3,25,Biography,Drama,NA,NA

Efter brylluppet,2006,R,120,7.7,78,Drama,NA,NA,0.41

Kai po che!,2013,NA,130,7.7,40,Drama,Sport,NA,1.12

Tideland,2005,R,120,6.5,26,Drama,Fantasy,Horror,0.07

The Blob,1988,NA,95,6.5,NA,Horror,Sci-Fi,Thriller,8.25

The Way of the Gun,2000,R,119,6.7,49,Action,Crime,Drama,6.06

Instinct,1999,R,126,6.6,43,Drama,Thriller,NA,34.10

For Love of the Game,1999,PG-13,137,6.6,43,Drama,Romance,Sport,35.17

Police Academy: Mission to Moscow,1994,PG,83,3.6,11,Comedy,Crime,NA,0.13

Yedinci Kogustaki Mucize,2019,NA,132,8.3,NA,Drama,NA,NA,NA

Welcome to the Dollhouse,1995,R,88,7.4,83,Comedy,Drama,NA,4.77

Dragnet,1987,NA,106,6.0,62,Comedy,Crime,NA,57.39

Flypaper,2011,NA,87,6.4,37,Comedy,Crime,Mystery,0.00

P2,2007,R,98,5.9,37,Crime,Horror,Thriller,3.99

Nefes: Vatan Sagolsun,2009,NA,128,8.0,NA,Action,Drama,Thriller,NA

Victoria & Abdul,2017,PG-13,111,6.8,58,Biography,Drama,History,22.25

Where the Heart Is,2000,PG-13,120,6.8,30,Comedy,Drama,Romance,33.77

Rumble Fish,1983,NA,94,7.2,63,Crime,Drama,Romance,2.49

Loving,2016,PG-13,123,7.0,79,Biography,Drama,Romance,7.70

Le violon rouge,1998,R,130,7.6,57,Drama,Music,Mystery,9.47

Chaos Theory,2008,PG-13,87,6.6,44,Comedy,Drama,Romance,0.24

The Whistleblower,2010,R,112,7.1,59,Biography,Crime,Drama,1.12

Tora! Tora! Tora!,1970,NA,144,7.5,46,Action,Drama,History,29.55

The Company You Keep,2012,R,125,6.4,57,Drama,Thriller,NA,5.13

Operation Finale,2018,PG-13,122,6.6,58,Biography,Drama,History,17.61

Yahsi Bati,2009,NA,112,7.4,NA,Comedy,Western,NA,NA

Muppets Most Wanted,2014,PG,107,6.4,61,Adventure,Comedy,Crime,51.18

The Stepfather,2009,PG-13,101,5.6,33,Crime,Thriller,NA,29.06

Choke,2008,R,92,6.4,47,Comedy,Drama,NA,2.93

Babe: Pig in the City,1998,NA,97,5.7,68,Adventure,Comedy,Drama,18.32

The Accused,1988,NA,111,7.1,65,Crime,Drama,NA,32.07

Stan & Ollie,2018,PG,98,7.2,75,Biography,Comedy,Drama,5.47

54,1998,R,93,5.9,33,Drama,Music,NA,16.57

Heavy Metal,1981,NA,86,6.7,51,Animation,Adventure,Fantasy,NA

Gentlemen Prefer Blondes,1953,NA,91,7.2,NA,Comedy,Musical,Romance,12.00

Replicas,2018,17+,107,5.5,19,Drama,Sci-Fi,Thriller,4.05

Upstream Color,2013,NA,96,6.7,81,Drama,Sci-Fi,NA,0.44

C.R.A.Z.Y.,2005,NA,129,7.9,81,Comedy,Drama,NA,NA

Miracle on 34th Street,1994,PG,114,6.5,NA,Family,Fantasy,NA,17.19

A Walk in the Clouds,1995,PG-13,102,6.7,54,Drama,Romance,NA,50.01

Double Team,1997,R,93,4.8,NA,Action,Comedy,Sci-Fi,11.44

Once Were Warriors,1994,R,102,7.9,77,Crime,Drama,NA,2.20

The Odd Couple,1968,NA,105,7.7,86,Comedy,NA,NA,44.53

Blues Brothers 2000,1998,PG-13,123,4.9,NA,Action,Comedy,Crime,13.98

Radio Days,1987,NA,88,7.5,74,Comedy,NA,NA,14.79

Pek Yakinda,2014,NA,134,7.4,NA,Comedy,NA,NA,NA

The Black Cauldron,1985,PG,80,6.4,59,Animation,Action,Adventure,21.29

Goal II: Living the Dream,2007,PG-13,115,5.9,NA,Adventure,Drama,Sport,NA

All the Boys Love Mandy Lane,2006,R,90,5.5,44,Adventure,Family,Fantasy,NA

If Only,2004,PG-13,92,7.2,NA,Comedy,Drama,Fantasy,NA

K-9,1989,NA,101,6.0,44,Action,Comedy,Crime,43.25

Av Mevsimi,2010,NA,140,7.4,NA,Crime,Drama,Mystery,NA

Holidate,2020,NA,103,6.1,44,Comedy,Romance,NA,NA

The Siege of Jadotville,2016,NA,108,7.2,NA,Action,Drama,History,NA

Yi dai zong shi,2013,R,130,6.6,73,Action,Biography,Drama,6.59

New Jack City,1991,R,97,6.7,61,Action,Crime,Drama,47.62

Ace in the Hole,1951,NA,111,8.1,72,Drama,Film-Noir,NA,3.97

The Final Cut,2004,PG-13,95,6.2,43,Drama,Sci-Fi,Thriller,0.55

*batteries not included,1987,NA,106,6.7,54,Comedy,Family,Fantasy,32.95

Pathology,2008,R,95,6.0,55,Crime,Thriller,NA,0.11

Fitzcarraldo,1982,NA,158,8.1,NA,Adventure,Drama,NA,NA

Halloween: The Curse of Michael Myers,1995,R,87,4.8,10,Horror,Thriller,NA,15.12

The People Under the Stairs,1991,R,102,6.4,57,Comedy,Horror,Mystery,24.20

1941,1979,NA,118,5.8,34,Action,Comedy,War,31.76

Dilwale,2015,NA,158,5.1,NA,Action,Comedy,Drama,4.83

Beautiful Girls,1996,R,112,7.1,64,Comedy,Drama,Romance,10.60

Alvin and the Chipmunks: Chipwrecked,2011,G,87,4.3,24,Animation,Adventure,Comedy,133.11

Yip Man chin chyun,2010,NA,100,7.1,NA,Action,Biography,Drama,NA

Boy Erased,2018,R,115,6.9,69,Biography,Drama,NA,6.79

Compliance,2012,R,90,6.4,68,Crime,Drama,Thriller,0.32

Ivanovo detstvo,1962,NA,95,8.1,NA,Drama,War,NA,NA

Blood and Bone,2009,R,93,6.7,NA,Action,Crime,Drama,NA

Official Secrets,2019,R,112,7.3,63,Biography,Crime,Drama,0.40

The Second Best Exotic Marigold Hotel,2015,PG,122,6.6,51,Comedy,Drama,NA,33.08

Hop,2011,PG,95,5.4,41,Animation,Adventure,Comedy,108.09

Survivor,I 2015,PG-13,96,5.6,28,Action,Crime,Thriller,NA

Peeping Tom,1960,NA,101,7.7,NA,Drama,Horror,Thriller,0.08

Bajirao Mastani,2015,NA,158,7.2,NA,Action,Drama,History,6.56

Gully Boy,2019,17+,153,8.0,65,Drama,Music,NA,5.57

Harry and the Hendersons,1987,NA,110,6.0,42,Comedy,Family,Fantasy,29.76

Sin nombre,2009,R,96,7.6,77,Adventure,Crime,Drama,2.53

The Secret of Kells,2009,NA,71,7.6,81,Animation,Adventure,Family,0.69

Big Game,2014,PG-13,90,5.4,53,Action,Adventure,NA,0.02

A Man for All Seasons,1966,G,120,7.7,72,Biography,Drama,History,28.35

The Howling,1981,NA,91,6.6,68,Horror,NA,NA,17.99

The Island of Dr. Moreau,1996,PG-13,96,4.6,NA,Horror,Sci-Fi,Thriller,27.66

Oliver Twist,2005,PG-13,130,6.8,65,Crime,Drama,NA,1.99

Critters,1986,NA,86,6.1,52,Comedy,Horror,Sci-Fi,13.17

Au revoir les enfants,1987,NA,104,8.0,88,Drama,War,NA,4.54

The Wrong Missy,2020,NA,90,5.7,33,Comedy,Romance,NA,NA

Leatherheads,2008,PG-13,114,6.0,56,Comedy,Drama,Romance,31.20

Young Guns II,1990,NA,104,6.5,47,Action,Western,NA,44.14

A Long Way Down,2014,R,96,6.4,34,Comedy,Drama,NA,0.01

Love Happens,2009,PG-13,109,5.7,33,Drama,Romance,NA,22.93

Coriolanus,2011,R,123,6.1,79,Drama,Thriller,War,0.76

In the Land of Women,2007,PG-13,97,6.4,47,Comedy,Drama,Romance,11.04

Ghost Stories,I 2017,17+,98,6.4,68,Drama,Horror,NA,0.14

Melinda and Melinda,2004,PG-13,99,6.4,54,Comedy,Drama,Romance,3.83

45 Years,2015,R,91,7.1,94,Drama,Romance,NA,4.25

A Girl Walks Home Alone at Night,2014,NA,101,7.0,81,Drama,Horror,Romance,NA

Sleeping Beauty,2011,NA,101,5.3,57,Drama,Romance,Thriller,0.04

The Skulls,2000,PG-13,106,5.6,24,Action,Crime,Drama,35.01

One Missed Call,2008,PG-13,87,4.0,24,Horror,Mystery,NA,26.88

Teenage Mutant Ninja Turtles III,1993,PG,96,4.8,40,Action,Adventure,Comedy,42.66

In a World...,2013,R,93,6.7,79,Comedy,NA,NA,2.96

La tortue rouge,2016,PG,80,7.5,86,Animation,Family,Fantasy,0.92

The Open House,2018,NA,94,3.2,NA,Horror,Thriller,NA,NA

To Have and Have Not,1944,NA,100,7.8,NA,Adventure,Comedy,Film-Noir,NA

Son of Rambow,2007,PG-13,96,7.0,66,Action,Adventure,Comedy,1.78

Talvar,2015,NA,132,8.2,NA,Crime,Drama,Mystery,0.34

Body Heat,1981,NA,113,7.4,77,Crime,Drama,Romance,24.06

Troll 2,1990,NA,95,2.9,NA,Comedy,Fantasy,Horror,NA

The Void,I 2016,NA,90,5.8,62,Horror,Mystery,Sci-Fi,0.15

Fanaa,2006,NA,168,7.2,NA,Drama,Romance,NA,2.10

Hors de prix,2006,PG-13,106,7.0,72,Comedy,Romance,NA,1.50

T�ky� goddof�z�zu,2003,PG-13,90,7.8,73,Animation,Adventure,Comedy,0.13

Chasing Mavericks,2012,PG,116,7.2,45,Biography,Drama,Sport,6.00

...and justice for all.,1979,NA,119,7.4,58,Crime,Drama,Thriller,NA

The Captive,I 2014,R,112,5.9,36,Crime,Drama,Mystery,NA

Auf der anderen Seite,2007,NA,122,7.8,85,Drama,NA,NA,0.74

Die fetten Jahre sind vorbei,2004,R,127,7.5,68,Drama,Romance,NA,0.18

Stalingrad,1993,NA,134,7.5,NA,Drama,War,NA,0.08

Raw Deal,1986,R,106,5.6,44,Action,Crime,Thriller,16.21

The Red Shoes,1948,NA,135,8.1,NA,Drama,Music,Romance,10.90

IO,2019,NA,96,4.7,40,Adventure,Drama,Sci-Fi,NA

Jimmy Neutron: Boy Genius,2001,NA,82,6.0,65,Animation,Action,Adventure,80.94

Love Story,1970,PG,100,6.9,84,Drama,Romance,NA,106.40

City Island,2009,PG-13,104,7.4,66,Comedy,Drama,NA,6.67

Mean Creek,2004,R,90,7.2,74,Crime,Drama,NA,0.60

Must Love Dogs,2005,PG-13,98,5.9,46,Comedy,Romance,NA,43.89

Mute,II 2018,NA,126,5.4,35,Mystery,Sci-Fi,Thriller,NA

The Homesman,2014,R,122,6.6,68,Drama,Western,NA,2.43

Major Payne,1995,PG-13,95,6.3,34,Adventure,Comedy,Family,29.41

Cursed,2005,PG-13,97,5.0,31,Comedy,Horror,NA,19.30

Sleuth,2007,R,88,6.5,49,Crime,Drama,Mystery,0.34

Holmes & Watson,2018,PG-13,90,3.8,24,Comedy,Crime,Mystery,30.57

Hysteria,2011,R,100,6.7,53,Biography,Comedy,Romance,1.80

Drishyam,2013,NA,160,8.3,NA,Crime,Drama,Thriller,NA

"Men, Women & Children",2014,R,119,6.7,38,Comedy,Drama,NA,0.46

Butterfly on a Wheel,2007,R,95,6.7,NA,Crime,Drama,Mystery,NA

Toys,1992,PG-13,118,5.1,40,Adventure,Comedy,Drama,21.45

A Night at the Opera,1935,NA,96,7.9,NA,Comedy,Music,Musical,2.54

Stay Alive,2006,PG-13,85,5.1,24,Fantasy,Horror,Mystery,23.09

The Way,I 2010,NA,123,7.4,64,Comedy,Drama,NA,4.43

La isla m�nima,2014,NA,105,7.3,NA,Crime,Mystery,Thriller,NA

The Invisible Man,1933,NA,71,7.7,87,Horror,Sci-Fi,NA,NA

An American in Paris,1951,NA,114,7.2,83,Drama,Musical,Romance,4.50

Organize Isler,2005,NA,106,7.4,NA,Comedy,Drama,NA,NA

"Tomorrow, When the War Began",2010,R,103,6.2,54,Action,Adventure,Drama,NA

Boat Trip,2002,R,94,4.9,18,Comedy,NA,NA,8.59

Real Genius,1985,NA,108,7.0,71,Comedy,Romance,Sci-Fi,13.00

Winchester,2018,17+,99,5.4,28,Biography,Drama,Fantasy,25.09

The Hills Have Eyes,1977,NA,90,6.3,64,Horror,Thriller,NA,25.00

Tyrannosaur,2011,NA,92,7.6,65,Drama,NA,NA,0.02

99 Homes,2014,R,112,7.1,76,Drama,NA,NA,1.41

Krull,1983,NA,116,6.1,45,Action,Adventure,Fantasy,16.52

Color Out of Space,2019,NA,111,6.2,70,Horror,Mystery,Sci-Fi,NA

The Shack,I 2017,PG-13,132,6.3,32,Drama,Fantasy,NA,57.39

The Changeling,1980,NA,107,7.2,70,Horror,NA,NA,NA

Darkness Falls,2003,PG-13,86,5.0,23,Fantasy,Horror,Mystery,32.55

In Your Eyes,2014,NA,106,7.0,NA,Fantasy,Romance,NA,NA

Hokkabaz,2006,NA,122,7.4,NA,Comedy,Drama,NA,NA

Better Watch Out,II 2016,R,89,6.5,67,Comedy,Crime,Horror,0.02

Tank Girl,1995,R,104,5.4,46,Action,Comedy,Sci-Fi,4.06

2 Days in Paris,2007,NA,96,6.8,67,Comedy,Drama,Romance,4.43

Cop Car,2015,R,88,6.3,66,Crime,Thriller,NA,0.13

Cypher,2002,R,95,6.8,NA,Mystery,Sci-Fi,Thriller,NA

The Limey,1999,R,89,7.0,73,Crime,Drama,Mystery,3.19

Blue Crush,2002,PG-13,104,5.7,61,Drama,Romance,Sport,40.39

Bubble Boy,2001,PG-13,84,5.6,41,Adventure,Comedy,Romance,5.00

The Machine,I 2013,R,91,6.1,52,Action,Drama,Sci-Fi,NA

The Man Who Knew Too Little,1997,PG,94,6.7,NA,Comedy,Crime,Drama,13.80

Honogurai mizu no soko kara,2002,PG-13,101,6.7,NA,Drama,Horror,Mystery,NA

The Hate U Give,2018,PG-13,133,7.4,81,Crime,Drama,NA,29.72

Conquest of the Planet of the Apes,1972,NA,88,6.1,49,Action,Sci-Fi,NA,9.81

Maximum Overdrive,1986,NA,98,5.5,24,Action,Comedy,Horror,7.43

Gi� la testa,1971,NA,157,7.6,77,Drama,War,Western,0.70

Danny Collins,2015,R,106,7.0,58,Biography,Comedy,Drama,5.35

The Three Stooges,2012,PG,92,5.1,56,Comedy,Family,NA,44.34

The Wackness,2008,R,99,7.0,61,Comedy,Drama,Romance,2.08

Viskningar och rop,1972,NA,91,8.1,NA,Drama,NA,NA,1.74

Envy,2004,PG-13,99,4.8,31,Comedy,NA,NA,12.18

Interstate 60: Episodes of the Road,2002,R,116,7.7,NA,Adventure,Comedy,Drama,NA

Sleepless,III 2017,R,95,5.6,34,Action,Crime,Thriller,20.78

Multiplicity,1996,PG-13,117,6.1,NA,Comedy,Romance,Sci-Fi,20.10

Superbabies: Baby Geniuses 2,2004,PG,88,1.9,9,Comedy,Family,Sci-Fi,9.11

Imagine Me & You,2005,R,90,6.8,49,Comedy,Drama,Romance,0.67

Armored,2009,PG-13,88,5.7,50,Action,Crime,Thriller,15.99

Jodhaa Akbar,2008,NA,213,7.6,69,Action,Drama,History,3.44

Boogeyman,2005,PG-13,89,4.2,32,Drama,Horror,Mystery,46.75

Oscar,1991,NA,109,6.6,NA,Comedy,Crime,NA,23.56

Idioterne,1998,R,117,6.8,47,Comedy,Drama,NA,0.01

The Immigrant,2013,R,120,6.6,77,Drama,Romance,NA,2.01

Feast,2005,R,95,6.3,43,Action,Comedy,Horror,0.05

The Circus,1928,NA,72,8.1,90,Comedy,Romance,NA,NA

Anything Else,2003,R,108,6.3,43,Comedy,Romance,NA,3.20

The Lodge,2019,R,108,6.0,64,Drama,Horror,Thriller,NA

Alan Partridge: Alpha Papa,2013,R,90,6.9,66,Action,Comedy,Crime,0.15

Dans la maison,2012,R,105,7.4,72,Drama,Mystery,Thriller,0.35

Kangaroo Jack,2003,NA,89,4.4,16,Action,Adventure,Comedy,66.93

White Oleander,2002,PG-13,109,7.1,61,Drama,NA,NA,16.35

Batman: The Movie,1966,NA,105,6.5,71,Adventure,Comedy,Crime,NA

The Diary of a Teenage Girl,2015,R,102,6.9,87,Comedy,Drama,Romance,1.48

Anand,1971,NA,122,8.4,NA,Drama,Musical,NA,NA

White Heat,1949,NA,114,8.1,NA,Action,Crime,Drama,NA

The Secret of My Success,1987,NA,111,6.5,36,Comedy,Romance,NA,67.00

The Salton Sea,2002,R,103,7.1,41,Crime,Drama,Mystery,0.76

Obsessed,2009,PG-13,108,5.0,25,Drama,Romance,Thriller,68.26

King Kong,1976,NA,134,5.9,61,Adventure,Horror,NA,52.61

Stretch,2014,R,94,6.5,NA,Comedy,Crime,NA,NA

Le tout nouveau testament,2015,NA,114,7.1,70,Comedy,Fantasy,NA,0.09

Big Nothing,2006,R,86,6.8,NA,Comedy,Crime,Thriller,NA

The Lord of the Rings,1978,NA,132,6.2,NA,Animation,Adventure,Fantasy,0.92

Dance of the Vampires,1967,NA,108,7.2,56,Comedy,Horror,NA,NA

The Discovery,I 2017,NA,102,6.3,54,Drama,Romance,Sci-Fi,NA

Barbershop,2002,PG-13,102,6.3,66,Comedy,Drama,NA,75.78

Waar,2013,NA,130,7.9,NA,Action,Crime,Drama,NA

El �ngel exterminador,1962,NA,95,8.1,NA,Drama,Fantasy,NA,NA

L.A. Story,1991,NA,95,6.7,66,Comedy,Drama,Fantasy,28.86

Sid and Nancy,1986,NA,112,7.0,76,Biography,Drama,Music,2.83

The Two Faces of January,2014,PG-13,96,6.2,66,Romance,Thriller,NA,0.51

Seraphim Falls,2006,R,115,6.7,62,Action,Drama,Thriller,0.42

Michael Collins,1996,R,133,7.2,60,Biography,Drama,Thriller,11.09

D� h�ng denglong gaogao gu�,1991,NA,125,8.1,NA,Drama,History,Romance,2.60

Searching for Bobby Fischer,1993,PG,109,7.4,89,Biography,Drama,NA,7.27

Popeye,1980,NA,114,5.3,64,Adventure,Comedy,Family,49.82

Raanjhanaa,2013,NA,140,7.6,NA,Drama,Romance,NA,0.88

Nelyubov,2017,17+,127,7.6,86,Drama,NA,NA,0.57

The King of Staten Island,2020,R,136,7.1,67,Comedy,Drama,NA,NA

